Libraries,Statistics,Basic maths,supervised algorithms,unsupervised algorithms,semi-supervised algorithms,reinforced algorithm,ML score
1,0,1,0,1,0,1,78.89
0,1,0,0,0,0,1,79.58
0,1,1,1,1,0,0,79.79
1,0,0,0,1,0,1,71.59
0,0,1,0,1,0,0,76.28
0,1,0,1,1,0,1,75.12
0,0,0,1,0,0,1,76.47
0,0,1,1,1,0,1,86.34
0,1,1,1,0,1,1,76.61
0,1,1,1,1,1,1,73.49
0,1,0,0,0,0,0,85.54
0,0,0,0,1,1,1,81.09
1,0,0,1,0,0,0,79.29
1,0,1,1,0,1,1,77.82
1,0,0,1,1,1,0,81.84
1,1,1,1,1,1,0,90.13
0,1,1,0,0,1,0,69.86
1,1,0,1,1,0,0,83.0
1,1,1,1,1,1,1,80.33
1,0,1,1,1,0,0,83.87
1,1,0,0,1,1,1,82.67
1,0,0,0,1,1,0,81.56
0,1,0,0,0,1,1,80.63
1,1,0,1,0,1,0,75.63
1,0,1,1,0,1,0,77.51
0,1,1,0,0,0,0,90.76
0,0,0,0,0,1,0,74.19
1,0,1,1,0,1,1,83.5
0,1,1,0,0,0,1,80.86
0,0,0,0,0,1,1,85.17
1,1,0,0,1,1,0,73.5
0,0,1,0,1,0,0,72.98
1,1,1,1,0,1,1,77.97
0,0,1,0,1,1,0,78.17
0,1,1,1,1,0,0,88.2
1,0,0,0,1,1,1,70.22
0,1,0,1,0,0,1,76.78
1,0,0,1,1,1,0,80.9
0,0,1,1,0,1,0,72.84
1,0,1,0,1,0,1,82.32
0,0,1,1,1,1,1,84.35
0,1,1,0,0,0,1,76.69
1,1,1,1,1,1,0,85.59
1,1,0,1,0,0,1,80.06
1,0,1,0,0,0,1,80.8
0,1,0,0,1,0,0,75.21
0,0,1,0,0,0,1,67.94
0,0,1,0,0,1,0,82.07
1,1,1,0,0,0,0,76.09
1,0,0,0,1,0,1,77.84
0,0,0,1,0,0,0,75.54
1,0,0,1,1,0,0,72.98
1,1,0,1,0,0,1,76.95
1,1,1,0,1,0,1,74.06
0,0,1,1,1,1,0,73.45
1,0,1,0,0,0,0,66.92
0,0,0,1,0,0,1,80.95
1,0,0,1,0,1,1,77.21
1,0,1,0,0,0,0,74.32
1,1,0,0,1,1,1,80.4
1,0,1,1,0,0,1,81.38
1,1,1,0,1,0,1,79.04
0,0,1,0,1,0,0,79.93
1,0,0,0,1,0,1,87.05
0,1,1,1,0,0,1,71.38
0,1,1,0,1,1,0,70.91
0,0,0,0,0,1,1,70.2
1,1,1,1,0,0,0,73.98
0,0,1,0,0,1,0,71.0
0,0,0,1,1,0,1,73.79
0,0,0,0,1,1,0,77.39
1,1,0,1,1,1,0,75.86
1,1,1,1,0,0,0,74.09
1,0,0,1,1,1,0,74.69
1,0,1,0,1,0,1,83.01
0,0,1,0,0,0,0,81.04
1,0,1,1,0,1,1,83.95
0,1,0,1,1,1,1,77.39
1,1,0,0,1,0,0,68.68
0,1,0,1,0,0,1,80.7
0,0,1,1,0,0,0,75.22
1,1,1,1,0,1,0,73.21
0,1,0,0,0,1,0,73.48
0,0,1,1,0,0,0,74.34
1,0,0,1,0,1,1,79.36
0,1,0,0,1,0,0,71.82
0,1,0,1,1,0,1,75.47
0,1,1,1,1,0,1,76.92
1,0,0,1,1,1,0,76.85
1,1,0,1,0,0,0,65.01
0,0,0,1,1,1,0,75.7
1,0,1,1,1,0,0,72.5
0,0,1,1,0,0,1,80.69
0,0,0,1,1,1,0,77.4
0,1,1,0,0,0,1,76.17
0,0,1,1,0,1,0,77.29
0,0,0,0,0,1,1,68.83
1,1,0,0,1,0,1,82.2
0,1,1,0,0,1,1,78.1
1,1,0,1,1,0,0,73.53
1,0,0,1,0,1,0,80.97
1,1,0,1,1,1,0,92.14
0,0,1,0,1,0,1,80.48
0,0,1,1,0,0,1,81.9
0,1,0,1,0,0,1,67.16
0,0,0,0,0,1,1,75.24
1,0,0,1,0,0,0,74.8
1,0,0,1,0,0,0,81.84
0,0,0,0,0,0,1,80.22
1,1,0,0,0,0,0,76.74
0,1,0,0,1,1,0,82.85
0,1,0,0,1,0,1,70.31
1,0,0,1,1,0,0,82.6
0,1,1,1,1,1,0,78.56
1,0,0,0,0,0,0,80.08
0,1,1,0,0,1,0,73.9
1,0,0,1,1,1,1,71.64
0,0,1,0,0,0,0,78.21
1,1,1,0,0,0,1,78.44
0,1,1,0,0,0,0,82.09
1,0,0,0,1,1,1,74.33
0,0,1,0,0,0,0,78.12
1,0,1,1,1,0,1,77.61
1,1,0,0,0,0,0,78.53
1,0,0,0,1,1,1,82.03
0,1,0,0,0,0,0,82.46
0,0,0,1,0,0,0,76.91
0,1,1,1,0,1,0,74.88
0,0,0,1,0,1,0,70.53
1,0,0,0,0,0,0,75.38
1,0,0,1,0,0,0,74.39
1,1,0,0,0,1,0,82.86
0,0,0,0,1,0,0,71.2
1,0,0,1,0,1,1,79.71
0,0,0,1,0,1,0,83.69
1,1,0,0,1,1,1,73.22
1,0,1,1,1,1,0,80.69
0,0,1,0,1,1,1,81.29
1,0,1,1,1,1,0,72.77
0,1,1,1,1,1,0,77.5
0,0,0,0,0,1,1,83.43
0,0,0,1,1,0,0,75.85
1,0,1,0,1,0,1,75.37
1,0,1,0,0,1,1,80.74
1,1,0,1,1,1,0,83.98
0,1,1,0,1,1,0,81.93
0,1,0,0,0,0,0,74.9
1,0,0,0,1,0,0,72.51
0,1,0,1,1,0,1,83.01
0,0,0,0,1,1,1,71.58
0,0,1,0,0,1,0,83.88
1,1,1,1,1,0,1,81.95
1,0,0,0,0,1,0,85.29
1,0,1,1,0,1,1,80.73
1,1,0,0,0,1,1,82.56
1,0,0,1,0,0,1,75.87
1,0,1,1,0,0,0,73.25
0,1,1,1,0,1,0,79.61
1,1,0,0,0,1,1,72.66
1,0,0,0,0,0,1,79.99
0,0,1,1,1,0,0,82.37
1,1,1,1,1,1,1,77.31
0,0,0,0,1,0,0,83.15
1,0,0,1,1,0,1,78.37
1,0,1,1,0,1,0,78.77
0,1,0,1,0,0,1,83.81
1,0,1,0,1,0,1,81.61
0,1,1,1,1,0,0,79.69
0,0,0,1,1,1,0,83.17
1,0,1,0,0,0,1,87.63
0,0,0,0,1,0,0,78.27
0,1,0,1,1,0,1,86.58
1,0,1,0,1,0,0,79.24
0,1,0,0,0,1,0,76.51
1,1,0,0,0,0,1,78.74
0,1,1,1,0,1,0,67.89
0,0,0,1,0,0,0,75.78
1,0,0,1,1,0,1,77.02
0,0,1,0,1,1,0,77.67
1,0,0,0,1,0,0,71.68
0,0,1,1,1,1,1,75.35
1,1,1,0,0,0,1,84.19
0,0,0,1,0,1,1,75.62
0,1,1,0,0,1,1,74.3
1,0,1,1,0,0,1,80.32
0,1,1,1,0,0,1,78.0
1,0,1,1,1,1,1,70.99
1,1,1,1,1,1,1,70.83
1,0,1,1,0,1,0,74.77
0,0,0,1,1,0,0,81.32
0,0,1,1,0,0,0,79.69
0,1,0,0,0,1,1,67.67
0,1,0,0,0,1,0,78.94
0,1,0,1,1,0,0,74.33
0,1,1,0,0,0,0,86.34
0,0,1,1,0,0,0,76.9
0,0,1,0,0,0,1,69.18
1,1,1,0,0,0,0,74.06
1,1,0,0,1,1,1,79.8
0,1,0,0,1,1,1,68.79
1,0,0,1,0,0,0,85.44
0,1,0,0,1,0,0,79.97
1,0,1,1,1,0,1,71.98
1,0,0,1,0,1,0,87.69
0,0,0,0,0,1,0,73.09
1,1,0,0,1,0,0,75.09
1,0,1,1,0,1,1,74.32
0,1,0,1,1,1,1,84.32
0,1,1,0,1,1,0,71.22
1,0,0,1,0,1,0,84.36
1,1,0,0,0,0,1,76.45
0,1,0,1,1,1,0,73.76
1,1,0,1,0,0,1,78.12
1,0,0,0,1,0,0,81.06
0,0,1,1,0,1,0,70.17
0,1,1,0,0,0,1,79.41
1,0,0,1,1,1,0,77.85
0,1,0,1,1,0,1,70.77
0,0,0,1,1,1,1,82.16
1,1,1,1,0,0,1,85.17
1,0,1,0,0,1,1,73.37
1,0,1,1,1,1,0,83.45
1,1,0,0,0,0,1,70.59
1,0,0,0,1,0,0,73.64
1,0,1,1,0,0,1,74.29
1,0,0,1,0,1,0,74.16
0,1,0,0,1,0,0,79.97
1,1,0,1,1,1,0,81.54
1,0,1,1,1,1,0,83.07
1,0,1,0,1,1,1,80.67
1,1,1,0,1,0,1,86.07
0,1,1,1,1,1,1,78.88
1,1,0,0,0,0,1,74.37
1,1,1,0,0,0,0,79.61
0,1,1,1,1,1,1,88.04
0,0,0,1,0,0,0,79.44
0,1,0,1,0,0,0,80.71
1,1,1,0,1,0,0,76.91
1,1,0,0,0,1,1,72.15
1,0,1,0,0,0,0,79.79
0,0,1,0,1,1,0,76.47
0,1,0,1,1,0,0,78.67
1,1,0,1,1,0,0,74.43
0,1,0,0,0,1,1,79.64
1,1,0,0,0,0,0,73.78
0,0,0,1,1,1,0,73.71
0,0,0,0,0,0,1,70.06
0,1,1,1,1,0,0,73.46
0,0,1,0,1,1,0,82.33
1,1,0,0,1,1,1,76.51
0,0,1,0,1,1,1,67.78
1,0,0,0,1,0,0,71.63
1,0,0,1,0,1,0,74.02
1,0,0,1,0,1,0,82.99
0,1,0,0,0,1,1,77.02
0,1,0,1,0,0,1,84.1
1,0,0,1,0,0,1,76.26
1,0,0,1,1,0,0,72.79
1,1,1,1,0,1,0,72.18
1,0,0,1,0,1,1,80.98
1,1,1,0,0,1,0,82.42
0,1,0,1,1,1,1,72.7
0,0,1,1,1,1,1,80.45
1,1,1,1,1,0,1,78.29
0,0,1,0,0,1,1,75.63
0,0,0,0,1,1,0,71.15
0,1,1,1,1,1,1,72.63
0,1,1,0,0,0,1,75.0
0,0,1,0,0,1,0,80.28
1,1,0,0,0,0,1,82.73
0,1,1,0,0,1,1,76.74
1,1,0,1,0,1,1,75.09
0,1,0,1,1,1,0,67.82
1,1,0,1,1,1,1,75.08
0,1,1,0,0,0,1,76.57
0,1,0,1,0,0,1,65.96
1,0,0,0,1,0,0,76.89
0,1,1,0,1,1,0,79.86
0,1,0,1,0,0,1,73.29
0,0,0,1,1,1,1,75.54
0,1,0,1,1,0,1,82.66
1,1,1,1,1,1,1,80.0
1,1,0,0,0,1,1,89.26
0,0,1,0,1,1,1,76.92
1,1,1,0,1,0,1,79.23
1,0,0,0,0,1,1,81.9
1,1,0,1,0,0,0,71.25
1,0,1,0,1,1,1,78.93
0,0,1,0,0,0,0,83.98
1,1,1,0,1,1,0,87.57
1,0,1,0,0,1,1,80.39
0,0,1,0,1,0,0,69.38
1,1,0,0,0,1,1,72.51
1,0,1,0,0,1,1,67.56
0,1,0,0,1,1,0,74.57
0,1,0,0,0,0,0,77.93
0,0,1,0,0,1,1,89.17
0,1,1,0,0,0,1,76.86
1,1,0,0,1,0,0,78.17
1,1,0,0,0,1,1,83.8
1,0,0,0,0,0,0,73.95
1,0,1,1,1,1,0,72.01
0,0,1,1,0,0,1,72.68
1,0,1,0,1,0,0,78.7
1,0,1,1,1,0,1,70.84
1,1,1,1,1,0,1,74.51
0,1,0,0,1,1,1,75.28
1,1,1,1,0,1,0,72.02
1,1,1,0,1,1,0,73.39
0,1,0,1,0,0,0,82.83
0,0,1,1,0,1,0,77.31
0,1,0,0,0,1,1,73.18
1,1,1,0,0,0,0,70.62
1,1,1,1,0,0,1,87.67
0,0,0,1,1,1,1,84.91
1,0,1,1,0,0,0,82.22
1,1,0,1,1,0,1,83.71
0,0,0,1,1,0,1,74.56
0,1,1,0,1,0,1,75.42
1,1,0,0,0,1,1,78.89
1,0,1,1,0,1,0,76.01
1,1,0,1,1,0,0,74.39
1,0,1,1,1,0,0,78.89
0,1,1,1,1,0,0,73.85
1,1,1,0,0,1,0,88.3
1,0,1,0,0,1,0,74.56
1,1,0,0,0,0,1,79.87
0,1,0,1,0,1,1,86.9
1,0,1,1,1,0,0,78.14
1,1,0,1,0,0,0,79.54
1,0,1,0,1,1,0,79.96
1,0,0,1,1,0,1,76.88
1,1,0,1,0,0,1,73.75
1,0,0,0,0,1,0,73.91
1,1,1,0,0,1,1,74.12
0,1,0,1,0,0,1,77.57
0,1,1,0,1,0,1,70.71
1,1,0,1,0,1,1,76.41
0,1,0,1,0,0,1,71.79
0,1,1,0,0,0,0,74.03
1,0,0,0,1,0,0,73.75
1,0,1,1,0,0,0,71.7
0,1,0,0,0,0,0,69.64
0,1,0,0,0,0,0,80.98
1,1,1,0,0,0,0,70.6
0,1,1,1,1,0,1,70.89
1,0,0,0,1,1,0,77.01
1,1,1,0,1,1,1,72.94
1,0,1,0,1,1,0,64.18
0,1,1,1,1,0,1,73.94
1,0,1,0,1,0,0,82.36
0,1,0,0,1,1,1,69.66
1,1,1,1,0,0,1,78.03
0,1,0,0,0,1,1,82.38
1,1,1,0,0,1,0,80.79
1,0,0,1,0,0,1,64.99
1,1,0,1,0,1,1,80.87
1,0,1,1,1,0,1,64.7
0,0,0,1,0,1,0,68.94
1,1,1,1,0,0,0,83.0
1,0,0,0,1,0,1,79.3
0,1,0,1,0,1,0,81.23
1,1,1,0,1,0,1,84.3
0,0,0,1,0,1,1,80.13
0,1,0,1,1,1,1,77.4
0,1,0,0,1,0,1,65.31
0,0,1,0,1,0,1,75.51
0,0,0,0,1,1,1,81.14
0,1,1,1,1,0,0,83.25
1,1,0,1,1,0,1,81.54
1,1,1,0,1,1,1,78.46
1,0,0,0,0,1,0,71.37
0,1,0,1,1,0,1,80.04
0,1,0,1,1,0,1,77.98
0,1,0,0,1,1,1,78.51
0,1,0,1,1,1,1,75.75
1,1,0,0,1,1,1,73.03
0,0,0,0,1,0,1,75.88
0,1,1,1,1,0,1,80.32
0,1,1,1,1,0,0,84.72
0,1,0,0,0,1,0,89.4
0,1,0,1,1,0,0,80.14
1,1,0,0,0,0,0,78.16
1,0,1,1,1,0,1,68.71
1,1,1,0,0,1,0,78.07
1,1,1,0,0,0,1,85.2
0,0,0,0,1,1,0,79.4
0,1,1,0,1,0,0,75.75
1,0,1,0,0,0,1,79.65
1,0,1,0,0,1,0,75.5
0,1,1,0,0,1,1,76.08
1,1,1,1,1,1,1,73.74
1,0,1,0,1,1,1,70.36
1,1,0,1,0,1,0,77.1
1,0,1,1,0,0,0,84.79
1,1,0,0,1,1,1,75.92
0,0,0,1,1,1,1,73.36
0,1,1,1,0,1,0,74.29
0,1,1,1,1,1,1,79.91
1,1,1,1,0,0,1,80.97
1,0,0,1,0,1,1,72.12
0,1,0,1,1,0,0,85.48
1,1,0,0,1,0,0,66.83
0,1,1,0,0,0,1,74.88
0,1,1,0,0,0,1,80.27
1,0,1,1,0,1,1,82.45
0,1,0,0,0,1,0,77.42
0,0,1,0,1,0,1,94.16
0,0,1,1,0,1,1,78.46
0,1,0,1,1,0,0,83.66
1,0,1,0,1,1,0,74.8
0,1,1,1,1,0,1,74.36
0,1,1,1,1,0,1,76.99
1,0,0,1,1,0,0,79.12
0,0,0,1,0,1,0,78.19
1,1,0,0,1,1,1,80.21
0,0,0,0,0,0,0,76.46
1,1,1,1,0,0,0,81.35
1,1,1,0,0,0,0,71.9
1,0,1,0,0,0,1,76.64
0,1,1,0,1,1,0,80.32
0,1,0,0,1,1,1,74.47
1,1,1,1,1,1,0,70.51
0,0,1,0,0,1,1,72.83
1,1,0,1,1,1,0,88.84
0,0,1,0,0,1,0,77.06
1,0,0,1,1,0,0,73.88
0,0,0,0,1,1,0,81.67
1,0,0,0,1,1,0,85.44
1,0,0,1,1,0,1,78.59
0,1,1,0,1,0,1,66.54
0,1,1,0,0,0,0,75.96
0,0,0,1,0,1,0,82.71
0,1,0,1,1,0,1,78.99
0,1,1,0,1,0,1,75.07
0,1,0,1,0,1,1,84.4
0,1,0,0,1,0,0,83.38
1,0,1,0,0,1,0,84.18
1,1,0,1,1,1,1,81.02
1,1,0,0,1,0,0,83.62
0,0,1,1,1,0,0,77.96
0,1,0,0,0,1,1,75.44
1,1,0,0,0,0,1,82.43
0,1,1,1,1,1,1,72.12
0,1,0,0,1,0,1,78.08
1,1,0,0,0,1,0,89.16
0,0,1,0,0,0,0,83.42
0,0,0,0,1,1,0,78.68
1,0,1,0,0,1,0,84.64
0,1,1,0,1,0,1,70.09
1,1,1,0,0,0,1,75.44
0,1,1,0,1,0,0,82.51
0,1,0,0,0,0,0,80.22
1,1,0,1,0,1,0,84.38
1,1,0,0,0,1,0,77.44
1,1,0,0,0,1,0,77.75
1,0,0,1,0,1,0,87.3
0,0,1,1,1,1,0,70.19
0,0,1,1,0,1,0,79.14
0,1,1,0,0,1,0,82.81
1,1,0,1,1,0,0,82.27
1,0,0,1,0,1,1,74.03
0,0,0,0,0,0,1,76.38
0,0,1,0,0,0,1,86.03
0,0,1,0,0,1,1,84.07
1,0,0,1,1,1,0,71.6
1,0,0,1,0,1,0,83.85
0,1,1,1,1,1,1,72.79
0,0,0,1,0,0,0,76.62
0,0,1,0,0,0,1,81.57
0,0,0,0,0,1,0,88.79
0,1,0,1,0,1,0,81.79
1,0,0,0,1,1,1,69.4
1,0,1,1,1,1,0,77.23
0,1,1,0,1,0,0,76.77
0,1,1,1,1,1,0,83.06
1,1,0,0,0,1,0,81.41
1,0,1,1,0,1,0,79.0
1,0,1,1,0,0,1,81.39
0,0,0,0,1,0,1,73.18
0,1,0,1,1,0,1,71.69
1,0,0,1,0,0,0,70.38
1,0,0,1,1,0,0,76.07
0,1,1,0,1,1,1,78.1
0,0,0,1,0,0,0,80.45
1,1,1,0,0,0,1,73.16
0,0,1,0,1,1,1,79.83
0,0,0,1,1,0,0,79.75
1,0,1,0,1,1,0,70.53
1,1,0,1,0,1,0,67.25
1,0,1,0,1,0,0,89.6
1,1,0,1,1,0,1,77.26
1,1,1,1,1,1,0,70.72
1,0,1,0,1,1,1,78.13
0,1,1,0,0,1,0,87.67
0,1,1,1,1,0,0,82.45
0,1,0,0,0,1,0,76.38
1,0,0,1,1,1,1,79.06
0,0,0,0,1,0,1,73.16
0,0,0,1,0,1,1,76.32
0,0,1,0,0,0,1,78.17
1,1,1,0,0,0,0,80.56
1,1,0,0,0,1,1,75.73
1,0,1,1,0,1,0,88.39
1,1,1,1,0,0,0,85.32
1,0,0,0,1,1,1,82.26
0,0,0,0,1,1,1,81.93
0,1,0,0,0,0,0,80.98
1,0,1,0,0,1,0,77.64
0,0,0,1,0,1,1,77.05
1,0,1,1,0,1,1,83.3
1,0,1,0,1,1,0,76.26
1,1,0,1,1,1,0,78.78
1,1,1,1,0,0,0,86.46
1,0,1,1,1,0,0,77.94
1,1,1,0,1,0,0,80.18
0,0,1,0,0,0,1,84.9
0,1,1,0,0,0,0,75.94
1,1,0,1,0,1,0,81.22
0,1,1,1,1,1,0,74.68
1,1,0,0,1,0,0,87.65
0,0,0,1,1,0,0,77.3
0,1,1,0,0,1,1,77.17
0,0,0,1,1,0,0,68.58
1,1,0,0,0,0,1,77.39
0,0,0,1,1,1,0,77.53
0,1,1,0,0,1,1,80.77
1,1,1,1,1,1,0,83.21
0,0,1,0,1,1,1,73.34
1,0,1,1,1,1,0,69.02
0,1,1,0,1,0,1,74.41
0,1,1,1,1,0,0,71.72
0,0,1,0,0,0,0,81.99
0,1,0,1,0,0,1,76.5
0,0,0,1,1,1,0,77.26
1,0,1,1,0,1,0,70.37
0,1,0,0,1,1,0,76.14
1,1,0,1,1,1,1,76.36
1,1,1,0,0,0,1,68.42
1,0,1,0,1,1,1,78.95
1,0,1,0,0,1,0,79.03
0,1,0,1,1,1,1,89.3
0,1,0,1,0,1,1,76.92
0,1,1,1,0,1,0,80.51
0,1,1,1,0,1,1,67.36
0,1,0,0,0,1,0,78.68
1,0,1,0,0,0,0,85.13
0,0,1,1,0,0,0,77.11
0,1,1,1,1,0,1,78.84
1,1,1,1,1,0,0,77.62
0,1,0,1,0,0,0,73.62
1,0,0,1,1,1,1,83.76
1,0,0,0,1,0,0,77.98
0,0,1,0,0,0,1,74.17
1,1,0,1,1,0,0,82.93
1,0,0,0,0,0,1,77.84
0,0,0,0,1,1,1,81.94
1,1,0,1,1,1,0,83.15
0,1,0,1,1,0,1,80.44
1,0,1,0,0,0,0,75.76
1,1,1,0,1,1,1,79.81
0,0,1,1,1,0,1,67.75
1,0,1,1,0,0,0,79.98
1,1,0,1,1,1,0,70.1
1,1,1,1,0,0,0,73.05
1,0,0,1,0,1,1,71.15
0,1,0,1,0,1,1,76.58
0,0,0,1,0,0,1,72.35
1,0,0,0,0,1,1,75.91
1,1,1,1,0,0,1,74.81
1,1,1,0,1,1,1,73.0
0,0,1,0,0,0,0,68.65
1,0,1,0,1,1,0,82.29
1,0,1,1,1,0,0,77.87
0,1,0,1,0,1,1,74.9
0,1,1,1,1,0,1,89.9
0,1,1,1,1,0,0,75.71
0,0,0,1,1,0,0,77.03
0,0,0,0,1,1,1,73.83
0,1,1,1,1,1,0,73.2
1,0,0,1,1,1,0,71.79
0,0,0,1,0,1,1,74.46
0,0,0,0,1,0,1,70.31
0,0,1,0,1,1,0,75.44
1,0,1,1,0,1,0,77.63
1,1,0,0,0,1,1,71.92
1,0,1,0,1,1,1,75.15
1,0,0,0,0,1,1,70.41
1,0,0,1,1,0,0,79.99
0,1,1,1,1,1,0,75.07
0,0,0,0,1,0,0,81.84
0,0,0,0,0,1,0,87.4
1,0,1,0,1,1,0,77.94
1,0,1,1,0,1,1,73.13
0,1,1,0,0,1,0,73.27
1,1,1,0,0,0,1,75.28
0,0,0,1,1,0,1,68.94
1,0,0,1,0,1,1,72.34
0,1,1,0,0,1,1,83.56
1,0,1,1,0,1,0,70.31
0,0,1,1,0,1,1,73.22
0,0,0,0,1,1,1,71.52
1,1,1,1,1,1,1,74.66
0,1,1,1,0,0,1,75.59
0,0,1,1,1,0,0,72.81
0,1,1,0,1,0,1,76.65
0,0,0,1,1,0,1,74.13
0,1,1,1,0,1,1,80.94
0,1,1,1,1,0,0,70.63
0,1,1,1,0,0,0,80.94
0,1,1,1,0,1,0,78.01
0,1,0,1,0,0,1,80.16
1,1,1,0,1,1,1,74.02
0,0,0,0,0,1,0,73.28
1,1,0,1,1,0,1,86.59
1,0,1,0,1,1,1,86.32
1,1,0,0,0,1,0,79.56
0,0,1,1,0,0,1,82.17
0,0,1,0,0,0,1,80.49
1,1,0,0,0,0,1,78.31
0,0,1,0,0,0,0,74.45
0,0,0,1,0,0,1,85.76
1,1,0,0,1,1,0,83.94
1,1,1,1,0,1,0,74.92
0,0,0,1,0,1,1,75.78
0,0,0,0,1,1,0,80.5
1,0,1,1,1,0,1,80.32
1,1,1,0,0,0,0,74.29
0,0,0,0,1,1,0,83.41
0,1,0,0,1,0,0,74.57
1,1,1,0,1,0,0,75.62
1,1,0,0,0,1,0,75.39
1,1,1,0,1,1,0,84.65
1,1,0,1,0,1,1,76.95
1,0,0,1,1,1,0,79.1
0,1,1,1,0,0,0,79.75
0,0,0,1,0,1,0,77.86
0,1,0,1,0,1,0,84.0
0,1,1,1,0,0,0,74.76
0,0,1,0,1,1,1,83.91
1,1,1,0,0,1,0,80.11
0,0,0,0,1,0,1,69.37
0,1,0,0,1,1,1,76.75
0,1,0,1,0,0,1,86.58
0,1,1,0,0,0,0,75.4
1,0,1,0,0,0,0,84.93
1,1,0,1,1,1,0,84.15
0,1,1,1,0,0,0,79.04
0,0,1,1,1,0,1,69.67
0,1,0,0,0,1,0,72.09
0,0,1,1,1,0,0,74.16
0,1,1,1,1,0,0,75.84
0,1,0,1,0,1,0,75.86
0,1,1,1,1,0,1,74.33
1,1,0,1,0,0,0,78.69
1,1,1,0,1,0,0,78.9
0,1,1,0,0,1,1,73.63
1,0,1,1,0,0,1,87.07
0,0,0,1,0,0,0,80.9
1,0,0,1,0,0,1,73.28
0,0,1,0,0,0,1,81.5
1,0,0,0,0,0,1,66.79
1,0,0,0,1,0,1,79.49
1,0,1,1,1,1,0,79.74
0,1,1,0,1,0,1,71.99
0,0,1,1,0,0,0,77.7
1,1,1,0,1,1,0,77.84
0,0,1,0,0,1,0,72.79
0,1,1,1,1,1,1,83.6
1,1,0,0,1,0,0,66.58
0,1,1,0,0,0,1,75.85
1,0,0,1,1,1,1,77.33
0,1,1,0,1,1,0,77.09
1,0,1,1,0,0,1,86.8
0,0,0,1,1,1,1,76.61
0,0,1,0,0,0,0,75.83
0,1,1,0,1,0,0,75.08
0,0,0,0,1,1,0,77.29
0,0,0,1,0,0,1,83.09
0,1,0,1,0,0,0,78.48
1,0,0,0,1,0,1,78.41
0,1,0,1,0,1,1,81.54
1,1,0,0,0,0,1,79.41
0,1,0,1,1,0,0,72.14
0,0,1,1,1,1,0,79.19
1,0,1,0,0,0,0,81.46
1,0,1,1,1,1,0,72.49
0,1,0,1,0,1,0,74.23
1,1,0,0,0,1,0,70.14
1,0,0,1,1,0,1,80.55
0,1,1,0,0,1,0,72.99
0,1,1,1,1,1,0,73.16
1,0,0,0,1,0,0,80.26
0,1,0,0,0,1,1,82.21
0,0,0,0,0,0,0,78.53
1,0,1,1,0,0,0,66.95
1,1,0,1,1,0,1,75.17
1,1,0,1,1,0,1,77.17
0,1,1,1,1,1,1,76.96
0,1,1,0,0,1,1,88.24
0,0,1,1,1,0,1,74.07
0,0,0,0,1,1,1,72.07
1,1,0,1,1,0,0,70.28
1,1,0,1,0,1,1,72.4
0,0,1,0,0,0,1,75.08
0,1,0,0,1,1,1,79.8
1,0,1,0,0,0,1,77.17
0,0,1,1,1,1,0,77.08
0,1,0,0,0,1,0,75.86
1,1,1,0,1,1,0,88.53
1,1,0,1,0,0,0,88.53
0,0,0,1,1,0,1,78.38
1,1,1,1,1,1,0,82.35
1,0,1,0,1,1,1,79.6
0,0,1,1,0,0,0,69.88
1,1,0,0,0,1,1,77.26
0,0,0,1,0,0,1,79.03
0,0,0,1,0,1,1,83.69
1,0,1,1,1,0,0,89.55
1,1,0,0,1,1,1,86.39
0,1,1,1,1,0,1,80.7
0,0,1,0,1,0,1,81.17
1,1,1,1,0,0,0,78.67
1,1,1,1,1,0,0,79.39
1,1,1,0,1,0,1,87.42
1,1,0,1,0,1,1,81.63
0,1,0,0,0,0,0,88.4
0,0,1,0,0,1,1,71.07
1,0,0,0,0,0,1,82.07
0,0,1,1,0,0,0,67.3
1,1,0,0,0,0,1,75.49
0,1,1,1,0,0,1,76.25
1,0,1,1,0,0,1,84.63
0,0,1,0,0,1,0,89.88
1,1,1,0,1,0,1,82.97
0,1,1,1,1,0,0,79.48
0,0,1,0,1,0,1,75.4
1,1,0,0,0,1,1,80.03
0,1,0,1,1,0,0,85.49
1,0,0,1,0,1,1,80.11
0,0,1,1,0,0,1,81.78
0,1,0,0,1,0,0,81.22
1,1,1,0,0,0,0,71.16
0,0,1,1,0,0,1,81.59
0,1,0,1,0,1,0,84.7
0,0,1,1,1,1,0,76.78
0,0,0,1,0,0,0,74.7
1,1,0,0,0,0,0,80.36
1,0,1,0,0,0,0,76.9
1,0,1,1,1,1,1,74.58
1,1,0,0,1,0,1,75.07
0,0,1,0,1,0,0,75.23
1,0,1,1,1,0,1,86.88
1,1,0,1,0,0,1,73.42
0,0,1,0,0,1,0,81.24
1,1,1,0,1,1,0,81.2
1,1,1,0,1,0,0,74.03
0,1,0,1,1,0,1,84.76
0,0,0,1,1,0,0,82.9
0,1,1,1,1,0,1,73.02
1,0,1,1,1,0,0,79.94
0,1,1,0,0,0,0,74.48
1,1,0,1,0,0,0,79.2
0,0,1,0,0,0,0,77.9
1,0,1,0,0,1,0,81.21
0,1,1,0,1,0,0,85.63
0,0,0,0,0,0,0,79.93
0,1,1,1,0,0,1,80.04
0,1,1,1,0,1,1,79.96
1,0,0,1,0,1,1,70.73
0,0,1,1,1,1,0,76.7
1,1,1,0,1,0,1,83.46
0,1,0,1,0,0,0,81.0
0,1,0,0,0,0,1,74.63
